S.No,Name of State / UT,Total Case,Cured,Death
1,Andhra Pradesh,161,1,1
2,Andaman and Nicobar Islands,10,0,0
3,Arunachal Pradesh,1,0,0
4,Assam,24,0,0
5,Bihar,29,0,1
6,Chandigarh,18,0,0
7,Chhattisgarh,9,3,0
8,Delhi,503,16,7
9,Goa,6,0,0
10,Gujarat,95,10,9
11,Haryana,49,24,0
12,Himachal Pradesh,6,1,1
13,Jammu and Kashmir,75,3,2
14,Jharkhand,2,0,0
15,Karnataka,128,12,3
16,Kerala,295,41,2
17,Ladakh,14,3,0
18,Madhya Pradesh,104,0,6
19,Maharashtra,748,56,45
20,Manipur,2,0,0
21,Mizoram,1,0,0
22,Odisha,39,2,0
23,Puducherry,5,1,0
24,Punjab,53,1,5
25,Rajasthan,179,3,0
26,Tamil Nadu,411,6,1
27,Telengana,158,1,7
28,Uttarakhand,16,2,0
28,Uttar Pradesh,174,19,2
